ID,Condition,ConditionType,RT_Mu,RT_Sigma
22,Local Multiple Absent,Control,580.7662337662338,217.66729174929097
22,Local Multiple Incongruent,Control,569.2857142857143,345.3040068444864
23,Global All Random,Control,542.038961038961,217.85391300004844
23,Global Congruent at 2,Critical,351.29931972789115,125.90202839096246
23,Global Congruent at 6,Critical,363.42857142857144,237.32011211955543
23,Global Incongruent,Critical,422.56493506493507,289.64885040371183
23,Global Multiple Absent,Control,603.6753246753246,325.36632963793943
23,Global Multiple Incongruent,Control,468.02597402597405,357.52305682092486
23,Local All Random,Control,623.8714285714286,213.94662218146175
23,Local Congruent at 2,Critical,398.4013605442177,215.9242846704951
23,Local Congruent at 6,Critical,374.9795918367347,157.19874295341432
23,Local Incongruent,Critical,393.3469387755102,191.42678607106222
23,Local Multiple Absent,Control,524.9714285714285,153.78603349907587
23,Local Multiple Incongruent,Control,426.62857142857143,239.1515904814636
