ID,Condition,RunPosition,RT,Globality,RunType,StimuliType
32,Global Incongruent at 2,2,78,Global,Incongruent at 2,Incongruent Stimuli with Target
4,Global Congruent,2,79,Global,Congruent,Congruent Stimuli with Target
10,Local Congruent,2,79,Local,Congruent,Congruent Stimuli with Target
20,Local Incongruent at 6,6,79,Local,Incongruent at 6,Incongruent Stimuli with Target
28,Local Congruent,6,79,Local,Congruent,Congruent Stimuli with Target
32,Global Congruent,6,79,Global,Congruent,Congruent Stimuli with Target
32,Local Congruent,6,79,Local,Congruent,Congruent Stimuli with Target
37,Global Congruent,2,79,Global,Congruent,Congruent Stimuli with Target
37,Global Incongruent at 2,2,79,Global,Incongruent at 2,Incongruent Stimuli with Target
3,Local Incongruent at 2,2,80,Local,Incongruent at 2,Incongruent Stimuli with Target
4,Local Incongruent at 6,6,80,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Global Congruent,2,80,Global,Congruent,Congruent Stimuli with Target
21,Local Incongruent at 2,2,80,Local,Incongruent at 2,Incongruent Stimuli with Target
32,Global Congruent,2,80,Global,Congruent,Congruent Stimuli with Target
32,Global Congruent,2,80,Global,Congruent,Congruent Stimuli with Target
37,Global Congruent,2,80,Global,Congruent,Congruent Stimuli with Target
3,Local Incongruent at 6,6,81,Local,Incongruent at 6,Incongruent Stimuli with Target
3,Global Congruent,2,81,Global,Congruent,Congruent Stimuli with Target
12,Local Incongruent at 2,2,81,Local,Incongruent at 2,Incongruent Stimuli with Target
32,Global Congruent,6,81,Global,Congruent,Congruent Stimuli with Target
37,Local Incongruent at 6,6,81,Local,Incongruent at 6,Incongruent Stimuli with Target
9,Global Incongruent at 2,2,82,Global,Incongruent at 2,Incongruent Stimuli with Target
9,Local Incongruent at 2,2,82,Local,Incongruent at 2,Incongruent Stimuli with Target
9,Local Incongruent at 6,6,82,Local,Incongruent at 6,Incongruent Stimuli with Target
19,Global Congruent,6,82,Global,Congruent,Congruent Stimuli with Target
3,Local Congruent,6,83,Local,Congruent,Congruent Stimuli with Target
10,Local Incongruent at 6,6,83,Local,Incongruent at 6,Incongruent Stimuli with Target
10,Global Incongruent at 2,2,83,Global,Incongruent at 2,Incongruent Stimuli with Target
22,Local Incongruent at 2,2,83,Local,Incongruent at 2,Incongruent Stimuli with Target
32,Local Incongruent at 6,6,83,Local,Incongruent at 6,Incongruent Stimuli with Target
37,Local Congruent,2,83,Local,Congruent,Congruent Stimuli with Target
3,Global Incongruent at 2,2,84,Global,Incongruent at 2,Incongruent Stimuli with Target
19,Global Congruent,6,84,Global,Congruent,Congruent Stimuli with Target
37,Local Congruent,6,85,Local,Congruent,Congruent Stimuli with Target
9,Local Congruent,6,86,Local,Congruent,Congruent Stimuli with Target
27,Global Incongruent at 2,2,86,Global,Incongruent at 2,Incongruent Stimuli with Target
28,Local Congruent,6,86,Local,Congruent,Congruent Stimuli with Target
